"data.id" "name" "n" "p" "is_biology" "description" "comment"
"75" 465 "analcatdata_cyyoung8092" 97 11 NA "analcat" ""
"76" 758 "analcatdata_election2000" 67 16 0 "analcat" ""
"77" 988 "fl2000" 67 16 0 "" "Elections"
"78" 1062 "ar5" 36 30 0 "" "no information"
"79" 719 "veteran" 137 8 1 "Veteran's Administration Lung Cancer Trial Taken from Kalbfleisch and Prentice, pages 223-224" "veteran's disease"
"80" 860 "vinnie" 380 3 0 "" ""
"81" 1075 "datatrieve" 130 9 0 "" "Maintenance"
"82" 43 "haberman" 306 4 1 "Haberman's Survival Data" "Survival data"
"83" 450 "analcatdata_lawsuit" 264 5 0 "" "Lawsuit"
"84" 1026 "grub-damage" 155 9 1 "" "Irrigation grub pasture"
"85" 814 "chscase_vine2" 468 3 NA "chscase" ""
"86" 733 "machine_cpu" 209 7 0 "" "cpu"
"87" 446 "prnn_crabs" 200 8 1 "Data from Campbell & Mahon (1974) on the morphology of rock crabs of genus Leptograpsus." "crabs morphology"
"88" 925 "visualizing_galaxy" 323 5 0 "" "Galaxies"
"89" 796 "cpu" 209 8 0 "" ""
"90" 1495 "qualitative-bankruptcy" 250 7 0 "" ""
"91" 764 "analcatdata_apnea3" 450 4 1 "" "Apnea duration ?"
"92" 965 "zoo" 101 18 1 "" "Attributes describing animals"
"93" 724 "analcatdata_vineyard" 468 4 1 "" "Vineyard, predict lugs"
"94" 941 "lowbwt" 189 10 NA "" "Smoke, race, ageâ€¦"
"95" 1060 "ar3" 63 30 0 "" ""
"96" 765 "analcatdata_apnea2" 475 4 1 "" ""
"97" 767 "analcatdata_apnea1" 475 4 1 "" ""
"98" 1009 "white-clover" 63 32 1 "" "White clover pop"
"99" 800 "pyrim" 74 28 0 "" ""
"100" 996 "prnn_fglass" 214 10 0 "" "Chimie ?"
"101" 1005 "glass" 214 10 NA "" "Same same"
"102" 1524 "vertebra-column" 310 7 1 "Data set containing values for six biomechanical features used to classify orthopaedic patients into 3 classes (normal, disk hernia or spondilolysthesis) or 2 classes (normal or abnormal)." ""
"103" 721 "pwLinear" 200 11 0 "" ""
"104" 1490 "planning-relax" 182 13 1 "" "UCI EEG Relax"
"105" 1025 "analcatdata_germangss" 400 6 0 "" "Political system"
"106" 1073 "jEdit_4.0_4.2" 274 9 0 "" ""
"107" 973 "wine" 178 14 1 "" "Wine type"
"108" 745 "auto_price" 159 16 0 "" ""
"109" 756 "autoPrice" 159 16 0 "" "same same"
"110" 774 "disclosure_x_bias" 662 4 0 "" "Social data, telephone interview"
"111" 795 "disclosure_x_tampered" 662 4 0 "" "income"
"112" 827 "disclosure_x_noise" 662 4 0 "" "income"
"113" 931 "disclosure_z" 662 4 0 "" "income"
"114" 1011 "ecoli" 336 8 0 "" "E coli, biology"
"115" 818 "diggle_table_a2" 310 9 1 ": A BIOSTATISTICAL INTRODUCTION" "Biostatistics book"
"116" 947 "arsenic-male-bladder" 559 5 1 "" ""
"117" 949 "arsenic-female-bladder" 559 5 1 "" ""
"118" 950 "arsenic-female-lung" 559 5 1 "" ""
"119" 951 "arsenic-male-lung" 559 5 1 "" ""
"120" 900 "chscase_census6" 400 7 NA "chscaese" ""
"121" 1006 "lymph" 148 19 1 "" ""
"122" 1167 "pc1_req" 320 9 0 "" ""
"123" 1064 "ar6" 101 30 0 "" ""
"124" 820 "chatfield_4" 235 13 NA "This file is a text file giving details about the time series analysed in 'The Analysis of Time Series' by Chris Chatfield" "Book"
"125" 741 "rmftsa_sleepdata" 1024 3 1 "" "Sleep states"
"126" 880 "mu284" 284 11 NA "" ""
"127" 997 "balance-scale" 625 5 1 "This data set was generated to model psychological experimental results" "UCI Psychology"
"128" 906 "chscase_census5" 400 8 NA "chscase" ""
"129" 907 "chscase_census4" 400 8 NA "chscase" ""
"130" 908 "chscase_census3" 400 8 NA "chscase" ""
"131" 909 "chscase_census2" 400 8 NA "chscase" ""
"132" 1061 "ar4" 107 30 0 "" ""
"133" 1048 "jEdit_4.2_4.3" 369 9 0 "" "Looks like previosu but not same"
"134" 1121 "badges2" 294 12 0 "" "Words / vowels"
"135" 1059 "ar1" 121 30 0 "" "defects"
"136" 1464 "blood-transfusion-service-center" 748 5 1 "blood-transfusion-service-center" "Blood donor"
"137" 53 "heart-statlog" 270 14 1 "" ""
"138" 778 "bodyfat" 252 15 1 "" "Body fat"
"139" 335 "monks-problems-3" 554 7 0 "" "Monks problem UCI"
"140" 333 "monks-problems-1" 556 7 0 "" ""
"141" 1511 "wholesale-customers" 440 9 0 "" ""
"142" 1014 "analcatdata_dmft" 797 5 1 "" "Hygiene data"
"143" 750 "pm10" 500 8 0 "" "Air pollution"
"144" 886 "no2" 500 8 0 "" "Air pollution"
"145" 334 "monks-problems-2" 601 7 0 "" ""
"146" 770 "strikes" 625 7 0 "" ""
"147" 915 "plasma_retinol" 315 14 1 "Determinants of Plasma Retinol and Beta-Carotene Levels" ""
"148" 1488 "parkinsons" 195 23 1 "Oxford Parkinson's Disease Detection Dataset" ""
"149" 1498 "sa-heart" 462 10 1 "South Africa Heart Disease Dataset" "Element of statistical learning"
"150" 1441 "KungChi3" 123 40 NA "" ""
"151" 717 "rmftsa_ladata" 508 11 1 "" "Mortality"
"152" 1012 "flags" 194 30 0 "" "flags"
"153" 463 "backache" 180 33 1 "This data from \Problem-Solving\ on \backache in pregnancy\ " ""
"154" 914 "balloon" 2001 3 0 "" ""
"155" 336 "SPECT" 267 23 1 "" ""
"156" 164 "molecular-biology_promoters" 106 59 1 "" "DNA"
"157" 753 "wisconsin" 194 33 1 "" "Breast Cancer"
"158" 1480 "ilpd" 583 11 1 "Indian Liver Patient Dataset" "UCI"
"159" 1054 "mc2" 161 40 0 "" "Nasa"
"160" 1470 "dresses-sales" 500 13 0 "" ""
"161" 1462 "banknote-authentication" 1372 5 0 "" ""
"162" 37 "diabetes" 768 9 1 "Pima Indians Diabetes Database" "UCI"
"163" 826 "sensory" 576 12 1 "" "Wine sensory"
"164" 934 "socmob" 1156 6 0 "" "Jobs"
"165" 853 "housing" 506 14 0 "" ""
"166" 872 "boston" 506 14 0 "" ""
"167" 1506 "thoracic-surgery" 470 17 1 "Thoracic Surgery Data Data Set" "UCI"
"168" 772 "quake" 2178 4 0 "" ""
"169" 841 "stock" 950 10 0 "" "Aeropscace company stock"
"170" 50 "tic-tac-toe" 958 10 0 "" ""
"171" 1442 "MegaWatt1" 253 38 0 "" ""
"172" 292 "Australian" 690 15 0 "" "Australian Credit"
"173" 825 "boston_corrected" 506 21 0 "" ""
"174" 1446 "CostaMadre1" 296 38 0 "" ""
"175" 1467 "climate-model-simulation-crashes" 540 21 0 "" "Program crashes"
"176" 788 "triazines" 186 61 0 "The inhibition of dihydrofolate reductase by triazines. Journal of Computer Aided Molecular Design" ""
"177" 1063 "kc2" 522 22 0 "" "Nasa"
"178" 987 "collins" 500 24 0 "" "Corpus"
"179" 991 "car" 1728 7 0 "" ""
"180" 59 "ionosphere" 351 35 0 "" ""
"181" 1447 "CastMetal1" 327 38 0 "" ""
"182" 40 "sonar" 208 61 0 "" "Signal against rocks and metal"
"183" 1045 "kc1-top5" 145 95 0 "" ""
"184" 1066 "kc1-binary" 145 95 0 "" "Different dataset"
"185" 1016 "vowel" 990 14 0 "" ""
"186" 962 "mfeat-morphological" 2000 7 0 "" "handwriting"
"187" 983 "cmc" 1473 10 1 "" "Contraceptive method used"
"188" 1071 "mw1" 403 38 0 "" ""
"189" 337 "SPECTF" 349 45 1 "" "Heart Data"
"190" 1460 "banana" 5300 3 0 "" "Artificial dataset"
"191" 994 "vehicle" 846 19 0 "" ""
"192" 1510 "wdbc" 569 31 1 "" "Breast cancer diagnostic"
"193" 1065 "kc3" 458 40 0 "" ""
"194" 31 "credit-g" 1000 21 0 "" ""
"195" 1547 "autoUniv-au1-1000" 1000 21 0 "" ""
"196" 737 "space_ga" 3107 7 0 "" "Social"
"197" 871 "pollen" 3848 6 0 "" "Synthetic"
"198" 1068 "pc1" 1109 22 0 "" "Nasa"
"199" 1443 "PizzaCutter1" 661 38 0 "" ""
"200" 1451 "PieChart1" 705 38 0 "" ""
"201" 1452 "PieChart2" 745 37 0 "" ""
"202" 1570 "wilt" 4839 6 1 "Wilt Data Set" "Diseased trees"
"203" 851 "tecator" 240 125 1 "" "Meat composition via absorbance spectrum"
"204" 728 "analcatdata_supreme" 4052 8 0 "" "Court"
"205" 1489 "phoneme" 5404 6 0 "" "Nasal/oral sounds"
"206" 1004 "kdd_synthetic_control" 600 62 0 "" "Synthetic"
"207" 720 "abalone" 4177 9 0 "" "Stone data Tasmania"
"208" 1444 "PizzaCutter3" 1043 38 0 "" ""
"209" 1453 "PieChart3" 1077 38 0 "" ""
"210" 803 "delta_ailerons" 7129 6 0 "" "F16 aileron"
"211" 923 "visualizing_soil" 8641 5 1 "" "Soil"
"212" 1494 "qsar-biodeg" 1055 42 1 "QSAR biodegradation Data Set" "Biodegradation - Chemistry"
"213" 958 "segment" 2310 20 0 "" "Image segmentation dataset"
"214" 1067 "kc1" 2109 22 0 "" ""
"215" 311 "oil_spill" 937 50 0 "" "Oil Spill"
"216" 954 "spectrometer" 531 103 0 "" "Astronomy"
"217" 1049 "pc4" 1458 38 0 "" ""
"218" 1454 "PieChart4" 1458 38 0 "" ""
"219" 1050 "pc3" 1563 38 0 "" ""
"220" 970 "analcatdata_authorship" 841 71 0 "" ""
"221" 1021 "page-blocks" 5473 11 0 "" ""
"222" 1504 "steel-plates-fault" 1941 34 0 "" ""
"223" 819 "delta_elevators" 9517 7 0 "" "F16 ailerons"
"224" 725 "bank8FM" 8192 9 0 "" ""
"225" 807 "kin8nm" 8192 9 0 "" "Robot"
"226" 816 "puma8NH" 8192 9 0 "" "Robot"
"227" 310 "mammography" 11183 7 1 "Mammography dataset" "mammography"
"228" 1046 "mozilla4" 15545 6 0 "" ""
"229" 995 "mfeat-zernike" 2000 48 0 "" "handwritten"
"230" 847 "wind" 6574 15 0 "" ""
"231" 735 "cpu_small" 8192 13 0 "" ""
"232" 959 "nursery" 12960 9 0 "Nursery Database" "Social nursery application"
"233" 3 "kr-vs-kp" 3196 37 0 "" "Chess"
"234" 1479 "hill-valley" 1212 101 0 "" "Hill Valley map"
"235" 1020 "mfeat-karhunen" 2000 65 0 "" "Handwritten"
"236" 976 "kdd_JapaneseVowels" 9961 15 0 "" ""
"237" 971 "mfeat-fourier" 2000 77 0 "" "Handwritten"
"238" 1496 "ringnorm" 7400 21 0 "" "Artificial"
"239" 1507 "twonorm" 7400 21 0 "" "Artificial"
"240" 761 "cpu_act" 8192 22 0 "" ""
"241" 1487 "ozone-level-8hr" 2534 73 1 "" "Ozone"
"242" 822 "cal_housing" 20640 9 0 "" "Duplicate from houses"
"243" 823 "houses" 20640 9 0 "" ""
"244" 1019 "pendigits" 10992 17 0 "" ""
"245" 953 "splice" 3190 62 1 "" "DNA"
"246" 979 "waveform-5000" 5000 41 0 "" "Artifiicial"
"247" 843 "house_8L" 22784 9 0 "" ""
"248" 1069 "pc2" 5589 37 0 "" ""
"249" 1043 "ada_agnostic" 4562 49 0 "" "Revenues"
"250" 1471 "eeg-eye-state" 14980 15 1 "All data is from one continuous EEG measurement with the Emotiv EEG Neuroheadset" "EEG UCI"
"251" 1120 "MagicTelescope" 19020 12 0 "" "Artificial"
"252" 44 "spambase" 4601 58 0 "" ""
"253" 752 "puma32H" 8192 33 0 "" "Artificial"
"254" 833 "bank32nh" 8192 33 0 "" "Artificial"
"255" 316 "yeast_ml8" 2417 117 0 "" ""
"256" 846 "elevators" 16599 19 0 "" "F16"
"257" 977 "letter" 20000 17 0 "" ""
"258" 980 "optdigits" 5620 65 0 "" ""
"259" 1056 "mc1" 9466 39 0 "" ""
"260" 821 "house_16H" 22784 17 0 "" ""
"261" 137 "BNG(tic-tac-toe)" 39366 10 0 "" "BNG"
"262" 251 "BNG(breast-w)" 39366 10 0 "" "BNG"
"263" 151 "electricity" 45312 9 0 "" ""
"264" 978 "mfeat-factors" 2000 217 0 "" ""
"265" 727 "2dplanes" 40768 11 0 "" "Artificial Breiman"
"266" 881 "mv" 40768 11 0 "" "Artificial"
"267" 901 "fried" 40768 11 0 "" "Artificial"
"268" 1022 "mfeat-pixel" 2000 241 0 "" "Handwritten"
"269" 734 "ailerons" 13750 41 0 "" ""
"270" 312 "scene" 2407 300 0 "" "Images real world"
"271" 722 "pol" 15000 49 0 "" ""
"272" 1461 "bank-marketing" 45211 17 0 "Bank Marketing" "UCI"
"273" 1502 "skin-segmentation" 245057 4 1 "Skin Segmentation Data Set " "UCI"
"274" 1116 "musk" 6598 170 1 "Musk Dataset" "UCI : molecules judged by humans expert to be musk"
"275" 1485 "madelon" 2600 501 0 "" ""
"276" 1040 "sylva_prior" 14395 109 1 "" "US forests"
"277" 143 "BNG(vote)" 131072 17 0 "" "Artificial"
"278" 1042 "gina_prior" 3468 785 0 "" "Digit Recognition"
"279" 1036 "sylva_agnostic" 14395 217 0 "" ""
"280" 1038 "gina_agnostic" 3468 971 0 "" ""
"281" 161 "SEA(50)" 1000000 4 0 "" "artificial"
"282" 162 "SEA(50000)" 1000000 4 0 "" "artificial"
"283" 1486 "nomao" 34465 119 0 "" ""
"284" 1169 "airlines" 539383 8 0 "" ""
"285" 351 "codrna" 488565 9 1 "" ""
"286" 1241 "codrnaNorm" 488565 9 1 "" "same ?"
"287" 350 "webdata_wXa" 36974 124 0 "" ""
"288" 1176 "Internet-Advertisements" 3279 1559 0 "" ""
"289" 1039 "hiva_agnostic" 4229 1618 1 "" "Aids"
"290" 1597 "creditcard" 284807 31 0 "" ""
"291" 357 "vehicle_sensIT" 98528 101 0 "" ""
"292" 1242 "vehicleNorm" 98528 101 0 "" "same ?"
"293" 77 "BNG(breast-cancer,nominal,1000000)" 1000000 10 0 "" "artificial"
"294" 354 "poker" 1025010 11 0 "" ""
"295" 140 "BNG(heart-statlog,nominal,1000000)" 1000000 14 0 "" "artificial"
"296" 267 "BNG(heart-statlog)" 1000000 14 0 "" "artificial"
"297" 124 "BNG(credit-a,nominal,1000000)" 1000000 16 0 "" "artificial"
"298" 258 "BNG(credit-a)" 1000000 16 0 "" "artificial"
"299" 73 "BNG(labor,nominal,1000000)" 1000000 17 0 "" "artificial"
"300" 246 "BNG(labor)" 1000000 17 0 "" "artificial"
"301" 1216 "Click_prediction_small" 1496391 12 0 "" ""
"302" 142 "BNG(hepatitis,nominal,1000000)" 1000000 20 0 "" "artificial"
"303" 269 "BNG(hepatitis)" 1000000 20 0 "" "artificial"
"304" 126 "BNG(credit-g,nominal,1000000)" 1000000 21 0 "" "artificial"
"305" 260 "BNG(credit-g)" 1000000 21 0 "" "artificial"
"306" 120 "BNG(mushroom)" 1000000 23 0 "" "artificial"
"307" 122 "BNG(colic,nominal,1000000)" 1000000 23 0 "" "artificial"
"308" 257 "BNG(colic)" 1000000 23 0 "" "artificial"
"309" 121 "BNG(colic.ORIG,nominal,1000000)" 1000000 28 0 "" "artificial"
"310" 256 "BNG(colic.ORIG)" 1000000 28 0 "" "artificial"
"311" 131 "BNG(sick,nominal,1000000)" 1000000 30 0 "" "artificial"
"312" 293 "covertype" 581012 55 0 "" ""
"313" 139 "BNG(trains)" 1000000 33 0 "" "artificial"
"314" 146 "BNG(ionosphere)" 1000000 35 0 "" "artificial"
"315" 72 "BNG(kr-vs-kp)" 1000000 37 0 "" "artificial"
"316" 128 "BNG(cylinder-bands,nominal,1000000)" 1000000 40 0 "" "artificial"
"317" 262 "BNG(cylinder-bands)" 1000000 40 0 "" "artificial"
"318" 135 "BNG(spambase)" 1000000 58 0 "" "artificial"
"319" 132 "BNG(sonar,nominal,1000000)" 1000000 61 0 "" "artificial"
"320" 273 "IMDB.drama" 120919 1002 0 "" ""
"321" NA "Artificial" NA NA NA "" ""
"322" NA "Biomedical" 46 NA NA "" ""
"323" NA "Biology / Chemistry / Wine" 27 NA NA "" ""
"324" NA "Livestock, pasture / Meteo / Geography / pollution / astronomy / Geology" 20 NA NA "" ""
"325" NA "Total" 93 NA NA "" ""
